sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0311,0.8439,0.125
6.9,3.1,5.1,2.3,virginica,0.0002,0.075,0.9248
5.1,2.5,3.0,1.1,versicolor,0.1706,0.8117,0.0177
4.4,2.9,,0.2,setosa,0.8404,0.1592,0.0004
5.9,3.0,5.1,1.8,virginica,0.0051,0.2514,0.7436
5.5,3.5,1.3,0.2,setosa,0.965,0.035,0.0
5.6,,3.6,1.3,versicolor,0.1873,0.7598,0.0529
6.5,3.0,5.2,2.0,virginica,0.0007,0.1514,0.8479
5.3,3.7,1.5,0.2,setosa,0.9851,0.0149,0.0
5.1,3.4,1.5,,setosa,0.9088,0.0909,0.0003
6.1,2.8,4.0,1.3,versicolor,0.0275,0.8793,0.0932
5.5,2.4,3.7,1.0,versicolor,0.0454,0.9234,0.0312
7.7,3.0,6.1,2.3,virginica,0.0,0.0277,0.9723
6.9,3.1,4.9,1.5,versicolor,0.0049,0.6692,0.3259
6.0,2.2,5.0,1.5,virginica,0.001,0.4837,0.5153
